user_id,phone,nick_name,token
1,13686869696,小鱼同学,eyJhbGciOiJIUzI1NiJ9.eyJ1c2VySWQiOjEsImV4cCI6MTc1OTE0MTIwOH0.omGmB7_VqL3T7hU-G0ae0fpZHMN5SiueSUEkiinUykI
2,13838411438,可可今天不吃肉,eyJhbGciOiJIUzI1NiJ9.eyJ1c2VySWQiOjIsImV4cCI6MTc1OTE0MTIwOH0.Z67ACm-fG7WNx3jVmLkeN2GNZ197W-KYralPvBRF9ys
4,13456789011,user_slxaxy2au9f3tanffaxr,eyJhbGciOiJIUzI1NiJ9.eyJ1c2VySWQiOjQsImV4cCI6MTc1OTE0MTIwOH0.5y5yam2h0RWNvPraQmk-WCWsoLanHazbvmohTiI3d1A
5,13456789001,可爱多,eyJhbGciOiJIUzI1NiJ9.eyJ1c2VySWQiOjUsImV4cCI6MTc1OTE0MTIwOH0.4InXVHLRE8JxHZNT-hglytIUf3zV3sqVMManSBEW8Ak
6,13456762069,user_xn5wr3hpsv,eyJhbGciOiJIUzI1NiJ9.eyJ1c2VySWQiOjYsImV4cCI6MTc1OTE0MTIwOH0.4tdK1a5fwJ2dVRMdZcifIcBuXPK2J9HQONXQEJ4XJ90
1001,13800138001,,eyJhbGciOiJIUzI1NiJ9.eyJ1c2VySWQiOjEwMDEsImV4cCI6MTc1OTE0MTIwOH0.rD4yThRZ1CLTTAkXDCueasgQp68o1B40dI1YBFYlup4
1002,13800100002,,eyJhbGciOiJIUzI1NiJ9.eyJ1c2VySWQiOjEwMDIsImV4cCI6MTc1OTE0MTIwOH0.jCcWdN7CrNi28sqZmnC1mMxgMORRhDeV572TVjJ96m8
1003,13800100003,,eyJhbGciOiJIUzI1NiJ9.eyJ1c2VySWQiOjEwMDMsImV4cCI6MTc1OTE0MTIwOH0.4ev8EGoiNuzJEL-TbmE0MCQZQioq6zS7e7fQQqgSc2g
1004,13800100004,,eyJhbGciOiJIUzI1NiJ9.eyJ1c2VySWQiOjEwMDQsImV4cCI6MTc1OTE0MTIwOH0.BEHCtJ3xYrtJmKkVvJuzsILpxKLeRtuAuv41KHn5YOA
1005,13800100005,,eyJhbGciOiJIUzI1NiJ9.eyJ1c2VySWQiOjEwMDUsImV4cCI6MTc1OTE0MTIwOH0.YqlKPMO84Eyvp57rwvTAvPceStPyLEjtv3tSDsB3oms
1006,13800100006,,eyJhbGciOiJIUzI1NiJ9.eyJ1c2VySWQiOjEwMDYsImV4cCI6MTc1OTE0MTIwOH0.2iaOsE8LlnmwdPMMuu_95lWI7GoCiqE-K9NaMaNCeGc
1007,13800100007,,eyJhbGciOiJIUzI1NiJ9.eyJ1c2VySWQiOjEwMDcsImV4cCI6MTc1OTE0MTIwOH0.VfiXP-HwIpAyszNfyZnl_-O9XJlasH2JT4orjzOfrBY
1008,13800100008,,eyJhbGciOiJIUzI1NiJ9.eyJ1c2VySWQiOjEwMDgsImV4cCI6MTc1OTE0MTIwOH0.k2ImCXs2GJw9A7PN8Kn0SScYiIFNWKPqzQw1sc0fltg
1009,13800100009,,eyJhbGciOiJIUzI1NiJ9.eyJ1c2VySWQiOjEwMDksImV4cCI6MTc1OTE0MTIwOH0.xrho3Nb6_yyMQWLrM4G9MyvXA6uIW4jxXe5BFZg_kAQ
1010,13657246806,用户8qvrpd5kb0,eyJhbGciOiJIUzI1NiJ9.eyJ1c2VySWQiOjEwMTAsImV4cCI6MTc1OTE0MTIwOH0.5JG2T7Q7s7s_z-Yt3Z4xGI0dMHr-IwvB7Vb0npsrJGU
1011,13800100001,,eyJhbGciOiJIUzI1NiJ9.eyJ1c2VySWQiOjEwMTEsImV4cCI6MTc1OTE0MTIwOH0.R8r2X7xn3gqFFOLPlDSbRjeU5UmCMG4hczClgZvyg_A
1012,13800100010,,eyJhbGciOiJIUzI1NiJ9.eyJ1c2VySWQiOjEwMTIsImV4cCI6MTc1OTE0MTIwOH0.t0BdGYlfXaKiIxOlxoiApGtSDhknfkQvPa4gxobwvuQ
1013,13146674284,勇敢407,eyJhbGciOiJIUzI1NiJ9.eyJ1c2VySWQiOjEwMTMsImV4cCI6MTc1OTE0MTIwOH0.MZ4vJnEnrPXk7HXogEmZ1iU2T7vBCLmcVQCE4sYo-OY
1014,15634131285,自由911,eyJhbGciOiJIUzI1NiJ9.eyJ1c2VySWQiOjEwMTQsImV4cCI6MTc1OTE0MTIwOH0.cxJAQTz3cKheEXjvJ2n7rz9BubHH_gBPnm3_KWgkb94
1015,15738923033,dndhrdpk,eyJhbGciOiJIUzI1NiJ9.eyJ1c2VySWQiOjEwMTUsImV4cCI6MTc1OTE0MTIwOH0.1GLRGB9N0fMaJ6C31gZMQkDkQlCxwlW3J9zdhkbeqXQ
1016,15975312023,河流工匠,eyJhbGciOiJIUzI1NiJ9.eyJ1c2VySWQiOjEwMTYsImV4cCI6MTc1OTE0MTIwOH0.j5wO3Arh2Q6v7z7DQ585EQgxMh0H_W6GkgTI0xfibKo
1017,15227623066,zkyxctyz,eyJhbGciOiJIUzI1NiJ9.eyJ1c2VySWQiOjEwMTcsImV4cCI6MTc1OTE0MTIwOH0.0_Me9ekr_MOd76gSeyFKjHnejDc4xT9sw_yCZQ9aR_w
1018,15340314724,utxmwtfi,eyJhbGciOiJIUzI1NiJ9.eyJ1c2VySWQiOjEwMTgsImV4cCI6MTc1OTE0MTIwOH0.OUvJgacM2cZqWuBai8qCJr_ftgeJnQPtmXcDtZTAapM
